region,f_low,f_high,bandwidth,spectral_energy,mean_amplitude,max_amplitude,rms,std,kurtosis,label
0.0-1001.0,0.0,1001.0,1001.0,15.699493142670057,0.005951445694260939,2.2243276274600725,2.0612463761323774,2.0607657638060792,2.461142023374703,0
1001.0-1614.4,1001.0,1614.422424316406,613.422424316406,15.699493142670057,0.005951445694260939,2.2243276274600725,0.22234993114198762,0.22234993103586395,2.7670089898069388,0
1614.4-2690.1,1614.422424316406,2690.0597534179683,1075.6373291015623,15.699493142670057,0.005951445694260939,2.2243276274600725,0.25593911700654187,0.2559391169135772,3.0560354318108507,0
2690.1-3403.3,2690.0597534179683,3403.2855834960933,713.225830078125,15.699493142670057,0.005951445694260939,2.2243276274600725,1.1376982830958011,1.137698282813567,3.2535143886047817,1
3403.3-4367.3,3403.2855834960933,4367.300170898437,964.0145874023433,15.699493142670057,0.005951445694260939,2.2243276274600725,0.21700574837159986,0.21700574831206662,3.0934868168376513,0
4367.3-4980.0,4367.300170898437,4980.017211914062,612.717041015625,15.699493142670057,0.005951445694260939,2.2243276274600725,0.86385270518516,0.8638527050395997,3.0163012574413606,1
4980.0-4999.3,4980.017211914062,4999.345825195312,19.32861328125,15.699493142670057,0.005951445694260939,2.2243276274600725,0.03540303370477357,0.035403033704761,2.2463987781618573,0
4999.3-5713.1,4999.345825195312,5713.054870605468,713.7090454101562,15.699493142670057,0.005951445694260939,2.2243276274600725,0.935907831939275,0.9359078311153635,3.09931221391445,1
5713.1-6750.0,5713.054870605468,6750.03497314453,1036.9801025390625,15.699493142670057,0.005951445694260939,2.2243276274600725,0.21862890192622125,0.2186289019028425,2.9796932808710705,0
6750.0-7056.9,6750.03497314453,7056.876708984374,306.84173583984375,15.699493142670057,0.005951445694260939,2.2243276274600725,0.49670448318369376,0.49670448313959814,3.228941484594605,1
7056.9-7917.0,7056.876708984374,7916.999999999999,860.123291015625,15.699493142670057,0.005951445694260939,2.2243276274600725,0.17999123693962005,0.17999123693472902,2.8716652898983224,0
